                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.554,                 4.9625,                 1.5736,                0.00044,                0.08333,                0.00738,                0.00436,                  1.364,                 5.0623,                 1.2745,              0.0001625,              0.0001625,              0.0001625
                      2,                 1.4032,                  3.833,                 1.2658,                0.00335,                 0.3869,                0.10264,                 0.0543,                 1.1844,                 4.6284,                 1.1181,             0.00033082,             0.00033082,             0.00033082
                      3,                 1.4235,                 3.0987,                 1.3197,                0.00634,                 0.4494,                0.13314,                 0.0373,                 1.2036,                 4.4553,                 1.1684,             0.00049221,             0.00049221,             0.00049221
                      4,                 1.3509,                 2.7952,                  1.311,                0.00379,                 0.4494,                0.18486,                0.11824,                 1.2406,                 4.4043,                 1.2488,             0.00064666,             0.00064666,             0.00064666
                      5,                 1.4699,                  2.597,                 1.3553,                0.00251,                0.49107,                0.32375,                0.14292,                 1.3796,                  4.364,                 1.2728,             0.00079419,             0.00079419,             0.00079419
                      6,                 1.3102,                 2.4803,                 1.2941,                0.79362,                0.16014,                0.26671,                0.13266,                  1.545,                 4.0252,                 1.3768,             0.00093479,             0.00093479,             0.00093479
                      7,                  1.342,                 2.2579,                 1.3014,                0.62099,                0.28825,                0.44676,                0.24103,                 1.4079,                 3.5824,                 1.2913,              0.0010685,              0.0010685,              0.0010685
                      8,                  1.385,                 2.4958,                  1.294,                0.61816,                0.36577,                  0.425,                0.25721,                 1.4205,                 3.5409,                 1.3782,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.3736,                 2.1854,                 1.2992,                 0.9279,                0.31937,                0.48506,                0.28908,                  1.443,                 3.3813,                 1.3907,               0.001052,               0.001052,               0.001052
                     10,                 1.3079,                 2.1599,                 1.3297,                0.78868,                0.45634,                0.54293,                0.34767,                 1.2886,                 3.2321,                 1.1808,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.2404,                 2.0375,                  1.277,                 0.7831,                0.49934,                0.51896,                 0.3043,                 1.4409,                 3.0217,                 1.2943,              0.0010025,              0.0010025,              0.0010025
                     12,                  1.394,                  2.003,                 1.3505,                0.85985,                0.43939,                0.57173,                0.31181,                 1.6099,                  2.956,                 1.4464,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.3295,                  1.981,                 1.2751,                 0.7122,                0.31548,                0.32711,                0.16042,                 1.9767,                 3.8124,                 1.5036,               0.000953,               0.000953,               0.000953
                     14,                 1.2965,                 1.9816,                 1.2641,                0.79659,                0.35119,                0.42674,                0.24896,                 1.7252,                 3.2097,                 1.3613,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.2942,                 1.8209,                 1.2867,                0.73864,                0.46429,                0.47471,                0.25079,                 1.7736,                 2.8685,                 1.4787,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.2552,                 1.6756,                 1.2473,                0.80385,                0.44556,                0.46617,                0.25963,                 1.6236,                 2.7546,                 1.3467,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.1286,                   1.58,                 1.1961,                 0.9195,                0.53504,                 0.5572,                0.35335,                 1.5238,                 2.5464,                 1.2325,               0.000854,               0.000854,               0.000854
                     18,                 1.1678,                 1.5891,                 1.2424,                0.69406,                0.48178,                0.48171,                 0.2743,                 1.6665,                  2.704,                 1.2935,             0.00082925,             0.00082925,             0.00082925
